X,Y,hold,type,texture,orientation,can_match
7,6,H7,crimp,yellow,E,False
9,13,J14,crimp,yellow,NW,False
10,6,K7,crimp,yellow,NW,False
3,7,D8,crimp,yellow,NE,False
0,15,A16,crimp,yellow,NW,False
5,5,F6,crimp,yellow,N,False
10,5,K6,crimp,yellow,N,False
2,8,C9,crimp,yellow,N,False
0,9,A10,crimp,yellow,NW,False
8,7,I8,crimp,yellow,NE,False
10,11,K12,crimp,yellow,NE,False
0,10,A11,crimp,yellow,NW,False
1,6,B7,crimp,yellow,N,False
3,15,D16,crimp,yellow,N,False
10,9,K10,crimp,yellow,NW,False
6,15,G16,crimp,yellow,N,False
5,7,F8,crimp,yellow,N,False
5,14,F15,crimp,yellow,N,False
6,6,G7,crimp,yellow,NE,False
7,14,H15,crimp,yellow,N,False
2,11,C12,crimp,yellow,N,False
3,5,D6,crimp,yellow,N,False
3,2,D3,crimp,yellow,S,False
3,12,D13,crimp,yellow,N,False
9,10,J11,crimp,yellow,N,False
0,12,A13,crimp,yellow,N,False
6,10,G11,crimp,yellow,NE,False
7,17,H18,crimp,yellow,N,False
1,3,B4,crimp,yellow,SE,False
10,7,K8,crimp,yellow,N,False
2,14,C15,crimp,yellow,NW,False
7,8,H9,crimp,yellow,N,False
3,9,D10,crimp,yellow,NE,False
7,13,H14,crimp,yellow,NE,False
8,4,I5,crimp,yellow,N,False
8,11,I12,crimp,yellow,NE,False
10,12,K13,crimp,yellow,N,False
2,6,C7,crimp,yellow,N,False
2,17,C18,crimp,yellow,N,False
5,8,F9,crimp,yellow,N,False
