hidden_size,batch_size,learning_rate,weight_decay_factor,focal_gamma,focal_alpha,mae,rmse,validation_accuracy,validation_close_accuracy,validation_loss,best_epoch
256,32,0.0001,0,0,,0.30031347962382443,0.7931920353960156,81.50470219435736,92.17868338557994,0.20730310891987755,251
256,32,0.0001,0,1.0,,0.2764890282131661,0.7592687457107439,82.91536050156739,92.93103448275862,0.09317142634419724,228
256,32,0.0001,0,3.0,,0.3092476489028213,0.8139651005743294,81.37931034482759,91.84952978056427,0.032495484912069515,156
256,32,0.001,0,0,,0.24435736677115988,0.672220854885466,83.4012539184953,94.20062695924764,0.13789807267021387,72
256,32,0.001,0,1.0,,0.2846394984326019,0.7379119910823188,81.22257053291536,92.91536050156739,0.08018189043737949,62
512,32,0.001,0,0,,0.256269592476489,0.6837798322078308,82.41379310344827,94.0282131661442,0.12652710461523384,36
768,32,0.001,0,0,,0.2572100313479624,0.7078821785321238,83.2601880877743,93.52664576802508,0.13456340366450603,35
256,32,0.001,0,3.0,,0.25862068965517243,0.713286358671666,83.13479623824452,93.66771159874608,0.031294528603320944,67
512,32,0.001,0,1.0,,0.2626959247648903,0.7159184205990079,82.7742946708464,93.69905956112852,0.0767393666942371,56
768,32,0.001,0,1.0,,0.24592476489028214,0.6926619408220166,83.91849529780565,93.84012539184953,0.06270042369549628,35
256,32,0.001,0,5.0,,0.2677115987460815,0.7259195875914238,82.83699059561128,92.96238244514106,0.01220608828094555,63
512,32,0.001,0,3.0,,0.2598746081504702,0.7143842296595068,83.16614420062696,93.47962382445141,0.031717492947209394,63
256,32,0.001,0.1,0,,0.28683385579937304,0.7310832774866962,80.45454545454545,93.4012539184953,0.13958754970459267,44
768,32,0.001,0,3.0,,0.2647335423197492,0.7201750048547608,82.86833855799372,93.2601880877743,0.03505259358789772,46
512,32,0.001,0,5.0,,0.26504702194357366,0.7036626079526472,82.06896551724138,93.71473354231975,0.01058522221603198,52
768,32,0.001,0,5.0,,0.26598746081504704,0.7098721682794766,82.00626959247649,93.94984326018809,0.011986207918089348,40
256,32,0.001,0.1,1.0,,0.24717868338557994,0.6951466321038978,83.96551724137932,93.85579937304075,0.07612396564160008,75
512,32,0.001,0.1,0,,0.26128526645768024,0.7085461294473769,82.75862068965517,93.55799373040752,0.1348417441174388,37
768,32,0.001,0.1,0,,0.285423197492163,0.7354652207338501,81.09717868338558,92.86833855799372,0.1312005836237222,35
512,32,0.001,0.1,1.0,,0.26065830721003136,0.698520604193433,82.3667711598746,93.76175548589342,0.07251428609306458,36
256,32,0.001,0.1,3.0,,0.25956112852664576,0.708214231796511,83.00940438871473,93.43260188087774,0.03647155392169225,69
768,32,0.001,0.1,1.0,,0.295141065830721,0.7529461466044702,80.51724137931035,92.85266457680251,0.07133794038556517,28
512,32,0.001,0.1,3.0,,0.27601880877742946,0.7443623009729321,82.39811912225706,93.0564263322884,0.028341620238934412,76
256,32,0.001,0.1,5.0,,0.26128526645768024,0.7199573306757355,82.88401253918495,93.82445141065831,0.016164175282465294,54
768,32,0.001,0.1,3.0,,0.29435736677115987,0.7824485320640289,81.50470219435736,92.69592476489028,0.02899405554693658,48
256,64,0.001,0,0,,0.26598746081504704,0.7283984234763856,83.21316614420063,93.07210031347962,0.16441230956465006,75
512,32,0.001,0.1,5.0,,0.2622257053291536,0.7260275390512505,82.96238244514106,93.68338557993731,0.011024652672203957,51
256,64,0.001,0,1.0,,0.2572100313479624,0.7138355052297733,83.47962382445141,93.46394984326018,0.09088850239291787,64
512,64,0.001,0,0,,0.25407523510971786,0.7092094587823349,83.71473354231975,93.44827586206897,0.13516054544597864,49
768,32,0.001,0.1,5.0,,0.28213166144200624,0.7432032677395084,81.5987460815047,92.97805642633229,0.010340014938119566,55
256,64,0.001,0,3.0,,0.27037617554858934,0.733544664144366,82.58620689655173,93.27586206896552,0.04005669378209859,84
512,64,0.001,0,1.0,,0.245141065830721,0.6836652098229491,83.62068965517241,94.15360501567397,0.08246549816802144,70
256,64,0.001,0,5.0,,0.25579937304075234,0.7046642634176442,83.18181818181819,93.87147335423198,0.014289363995194435,51
512,64,0.001,0,3.0,,0.26927899686520373,0.7135060680126757,82.24137931034483,93.13479623824452,0.030396216064691544,38
768,64,0.001,0,0,,0.25579937304075234,0.7028825557284342,83.4012539184953,93.46394984326018,0.12491216208785773,60
256,64,0.001,0.1,0,,0.2655172413793103,0.7057755466556299,82.16300940438872,93.65203761755485,0.15237445635721086,61
512,64,0.001,0,5.0,,0.2584639498432602,0.707660723129072,82.7115987460815,94.07523510971787,0.013657566201291048,50
768,64,0.001,0,1.0,,0.2573667711598746,0.7002014936155464,82.86833855799372,93.77742946708464,0.08468858454376459,46
256,64,0.001,0.1,1.0,,0.26253918495297807,0.7322614946531902,83.46394984326018,93.22884012539186,0.08818048680201172,67
512,64,0.001,0.1,0,,0.28322884012539185,0.7173400884572373,80.45454545454545,93.52664576802508,0.1302941171452403,34
512,64,0.001,0.1,1.0,,0.2556426332288401,0.7120767455380426,83.41692789968653,93.76175548589342,0.0776578701660037,48
768,64,0.001,0,3.0,,0.2672413793103448,0.7190859750394473,82.64890282131661,93.1974921630094,0.03381241715978831,47
256,64,0.001,0.1,3.0,,0.2603448275862069,0.7153708729696904,83.36990595611286,93.11912225705329,0.09375763315707446,129
512,64,0.001,0.1,3.0,,0.2652037617554859,0.7291511791160113,83.04075235109718,93.3385579937304,0.03681824302300811,50
768,64,0.001,0,5.0,,0.2711598746081505,0.7319403507909559,82.61755485893417,92.97805642633229,0.01383419885765761,65
256,64,0.001,0.1,5.0,,0.2512539184952978,0.6958227353262217,83.73040752351098,93.51097178683385,0.014676572188618594,92
512,64,0.001,0.1,5.0,,0.2677115987460815,0.7167936268189582,82.38244514106583,93.3385579937304,0.011262749057495967,83
768,64,0.001,0.1,0,,0.2774294670846395,0.7226735454487981,81.14420062695925,93.71473354231975,0.12682102903723716,32
256,128,0.001,0,0,,0.2636363636363636,0.7119666788018509,82.86833855799372,93.22884012539186,0.17561551213264465,102
512,128,0.001,0,0,,0.261128526645768,0.7022132498578064,82.53918495297806,93.71473354231975,0.15375052750110627,66
256,128,0.001,0,1.0,,0.2553291536050157,0.7140550456025574,83.93416927899686,93.21316614420063,0.08398524194955825,66
512,128,0.001,0,1.0,,0.25768025078369905,0.7086567274546762,83.27586206896552,93.51097178683385,0.09437250770628453,62
768,64,0.001,0.1,1.0,,0.2617554858934169,0.7113059207209403,82.82131661442006,93.58934169278997,0.07782353307120501,49
256,128,0.001,0,3.0,,0.2663009404388715,0.7305470960596097,82.94670846394985,93.21316614420063,0.03429317308589816,65
512,128,0.001,0,3.0,,0.26692789968652036,0.725163477407348,82.82131661442006,93.29153605015674,0.0387957550957799,72
256,128,0.001,0,5.0,,0.2772727272727273,0.7454144036902158,82.52351097178683,92.72727272727273,0.018650072291493416,83
512,128,0.001,0,5.0,,0.26504702194357366,0.715151736535396,82.64890282131661,93.35423197492163,0.01699697888456285,68
768,64,0.001,0.1,3.0,,0.267398119122257,0.7176677657130587,82.55485893416927,93.13479623824452,0.03653304912149906,49
